Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
5,11.051381236591851,0.23065193661382505,Organic,3.8904600704749965,3,1.0
4,3.429315699032408,0.39100133385417046,Social,8.478174486998954,0,1.0
4,1.621052045863385,0.39798610649429295,Organic,9.636169627400937,2,1.0
5,3.6292789551861424,0.18045768470522203,Organic,2.071924676446509,3,1.0
5,4.235843279057931,0.29154087350930313,Paid,1.9606538296835623,5,1.0
3,4.541867820189699,0.42074004900263123,Social,3.4387115477961157,2,1.0
5,1.9495580162309412,0.03497815701588152,Social,2.1192714722548773,1,1.0
4,1.6857397554121445,0.25234275956256297,Paid,3.4780157014833533,5,1.0
6,0.03326803318340286,0.12070277057410704,Organic,5.285519080243383,1,1.0
7,7.833741754811087,0.21272688592362912,Paid,4.060115222739396,5,1.0
2,2.773784434424699,0.4857678223385693,Direct,2.9736527872816234,3,1.0
5,0.6812812938933654,0.45389055157671426,Referral,1.4990085570331237,0,1.0
5,7.562350901457057,0.26355197657901364,Social,9.68859191827762,0,1.0
6,7.392909562806381,0.26333594434632596,Paid,4.981015475004269,2,1.0
4,13.58023186909955,0.3205880939741078,Paid,5.802188906041352,3,1.0
6,6.215767159872134,0.2966410058170743,Paid,10.028903177808292,2,1.0
6,18.336679603402363,0.33769455101031587,Referral,2.984756677500051,0,1.0
1,0.8418659136590263,0.2493163814079028,Social,8.303624479819767,1,1.0
7,5.540223444247188,0.25668454702242277,Paid,8.79349224549781,3,1.0
2,5.19529648769634,0.17297773600044244,Paid,2.88998002366816,2,1.0
11,0.7877602686116874,0.2516407259960402,Organic,11.69293806671197,5,1.0
4,0.3108778925904152,0.6443099889585625,Organic,4.164912574168854,4,1.0
3,11.650381526779785,0.2873295684888015,Direct,6.025224138779933,1,1.0
8,1.0530353932538001,0.18358971565950877,Organic,3.727506649888684,2,1.0
3,6.141313177985501,0.09314583953005098,Social,5.083885619406432,2,1.0
3,0.012407084650197459,0.11882826239410445,Referral,1.3362649572248342,3,1.0
5,0.06374692835561609,0.05609412172042223,Social,7.053034390259116,1,1.0
8,1.881355422317819,0.013264164117845445,Direct,2.1077428505750926,2,1.0
3,0.8182412064917589,0.15809815511512193,Referral,15.022219699523305,3,1.0
2,3.5120133708249206,0.13503310650522732,Social,1.5528284464131656,0,0.9630796688606291
5,2.501122170816019,0.12373094976398322,Organic,3.296032105806264,2,1.0
